,coord,country,id,name
6320,"{'lon': 74.933327, 'lat': 30.85}",IN,1255082,Talwandi Bhai
6321,"{'lon': 76.316673, 'lat': 16.48333}",IN,1255122,Talikota
6322,"{'lon': 73.683327, 'lat': 18.716669}",IN,1255134,Talegaon Dabhade
6323,"{'lon': 85.216667, 'lat': 20.950001}",IN,1255143,Talcher
6324,"{'lon': 81.866669, 'lat': 22.15}",IN,1255212,Takhatpur
6325,"{'lon': 73, 'lat': 25.33333}",IN,1255213,Takhatgarh
6326,"{'lon': 78.48333, 'lat': 29.16667}",IN,1255224,Tajpur
6327,"{'lon': 78.01667, 'lat': 14.91667}",IN,1255254,Tadpatri
6328,"{'lon': 81.5, 'lat': 16.83333}",IN,1255264,Tadepallegudem
6329,"{'lon': 80.599998, 'lat': 16.48333}",IN,1255265,Tadepalle
6330,"{'lon': 82.416672, 'lat': 25.466669}",IN,1255346,Surianwan
6331,"{'lon': 71.683327, 'lat': 22.700001}",IN,1255349,Surendranagar
6332,"{'lon': 73.900002, 'lat': 29.316669}",IN,1255361,Suratgarh
6333,"{'lon': 77.400002, 'lat': 8.96667}",IN,1255372,Surandai
6334,"{'lon': 86.599998, 'lat': 26.116671}",IN,1255396,Supaul
6335,"{'lon': 75.966667, 'lat': 24.366671}",IN,1255425,Sunel
6336,"{'lon': 76.883331, 'lat': 31.533331}",IN,1255434,Sundarnagar
6337,"{'lon': 75.800003, 'lat': 30.133329}",IN,1255449,Sunam
6338,"{'lon': 75.383331, 'lat': 12.56667}",IN,1255482,Sulya
6339,"{'lon': 77.133331, 'lat': 11.03333}",IN,1255484,Sulur
6340,"{'lon': 77.633331, 'lat': 9.51667}",IN,1255616,Srivilliputhur
6341,"{'lon': 73.01667, 'lat': 18.033331}",IN,1255619,Srivardhan
6342,"{'lon': 78.216667, 'lat': 13.33333}",IN,1255631,Srinivaspur
6343,"{'lon': 75.599998, 'lat': 27.466669}",IN,1255643,Sri Madhopur
6344,"{'lon': 73.45417, 'lat': 29.84194}",IN,1255646,Karanpur
6345,"{'lon': 74.01667, 'lat': 28.08333}",IN,1255654,Sri Dungargarh
6346,"{'lon': 75.616669, 'lat': 20.6}",IN,1255667,Soygaon
6347,"{'lon': 78.75, 'lat': 27.883329}",IN,1255704,Soron
6348,"{'lon': 86.685829, 'lat': 21.288059}",IN,1255705,Soro
6349,"{'lon': 84.433327, 'lat': 19.75}",IN,1255712,Sorada
6350,"{'lon': 77.01667, 'lat': 28.98333}",IN,1255744,Sonipat
6351,"{'lon': 87.416672, 'lat': 23.299999}",IN,1255792,Sonamukhi
6352,"{'lon': 84.599998, 'lat': 18.933331}",IN,1255816,Sompeta
6353,"{'lon': 75.066673, 'lat': 13.5}",IN,1255823,Someshwar
6354,"{'lon': 77.116669, 'lat': 30.91667}",IN,1255850,Solan
6355,"{'lon': 72.716667, 'lat': 22.549999}",IN,1255858,Sojitra
6356,"{'lon': 77.066673, 'lat': 28.25}",IN,1255870,Sohna
6357,"{'lon': 77.816673, 'lat': 9.45}",IN,1255947,Sivakasi
6358,"{'lon': 77.800003, 'lat': 11.11667}",IN,1255950,Sivagiri
6359,"{'lon': 77.433327, 'lat': 9.33333}",IN,1255951,Sivagiri
6360,"{'lon': 85.48333, 'lat': 26.6}",IN,1255983,Sitamarhi
6361,"{'lon': 83.76667, 'lat': 27.15}",IN,1255995,Siswa Bazar
6362,"{'lon': 77.466667, 'lat': 29.41667}",IN,1256003,Sisauli
6363,"{'lon': 74.383331, 'lat': 18.83333}",IN,1256025,Sirur
6364,"{'lon': 77.01667, 'lat': 11.33333}",IN,1256027,Sirumugai
6365,"{'lon': 78.650002, 'lat': 28.65}",IN,1256040,Sirsi
6366,"{'lon': 74.849998, 'lat': 14.61667}",IN,1256047,Sirsi
6367,"{'lon': 78.699997, 'lat': 27.049999}",IN,1256050,Sirsaganj
6368,"{'lon': 75.01667, 'lat': 29.533331}",IN,1256052,Sirsa
